,employee_code,y_obs_train,y_pred_train,non-high performer,high performer,False_positive,False_negative
129,N2P,0.0,1.0,0.43733159475763106,0.5626684052423689,1,0
130,MWK,1.0,0.0,0.6375430575770888,0.3624569424229111,0,1
131,N27,1.0,1.0,0.43354636141994574,0.5664536385800543,0,0
132,N4S,0.0,0.0,0.543623383680556,0.4563766163194441,0,0
133,N9C,0.0,0.0,0.8187788288732846,0.1812211711267154,0,0
134,N7T,1.0,1.0,0.4435015964378931,0.5564984035621069,0,0
135,MUD,0.0,1.0,0.45899896797736606,0.5410010320226339,1,0
136,MY3,0.0,0.0,0.8545617265498787,0.1454382734501213,0,0
137,J4K,0.0,0.0,0.6111598340326474,0.3888401659673526,0,0
138,N58,1.0,1.0,0.4465932683002859,0.5534067316997141,0,0
139,MTT,0.0,0.0,0.5967007867461224,0.40329921325387763,0,0
140,N30,0.0,0.0,0.8387684885957425,0.1612315114042575,0,0
141,N5Q,0.0,1.0,0.34373918188347596,0.656260818116524,1,0
142,N6R,0.0,0.0,0.5967007867461224,0.40329921325387763,0,0
143,MY7,0.0,0.0,0.530811871196901,0.46918812880309907,0,0
144,N6W,0.0,0.0,0.5913292467812188,0.40867075321878116,0,0
145,N7F,1.0,1.0,0.37925317151974847,0.6207468284802515,0,0
146,N0L,0.0,0.0,0.6753202746071478,0.32467972539285217,0,0
147,MRI,1.0,1.0,0.37698681377469057,0.6230131862253094,0,0
148,N2T,1.0,1.0,0.48931034926166284,0.5106896507383372,0,0
149,MZ0,0.0,0.0,0.7080118458205947,0.29198815417940527,0,0
150,MXC,1.0,1.0,0.4621089636479623,0.5378910363520377,0,0
151,MVD,0.0,0.0,0.6796954116245818,0.3203045883754182,0,0
152,N3P,0.0,0.0,0.791896188167297,0.20810381183270305,0,0
153,MW5,1.0,0.0,0.621199472333652,0.378800527666348,0,1
154,MSX,1.0,1.0,0.45278878691570623,0.5472112130842938,0,0
155,N71,1.0,1.0,0.4000891200674924,0.5999108799325076,0,0
156,MRC,0.0,1.0,0.35984303955345087,0.6401569604465491,1,0
157,ND8,0.0,1.0,0.41824398643352156,0.5817560135664784,1,0
158,MZI,0.0,0.0,0.6063637542330615,0.39363624576693845,0,0
159,N9R,0.0,0.0,0.6631531414682788,0.33684685853172125,0,0
160,MOI,0.0,0.0,0.8404541924165809,0.15954580758341907,0,0
161,N9T,0.0,0.0,0.8470544646566609,0.15294553534333905,0,0
162,MWX,1.0,1.0,0.4496890766991197,0.5503109233008803,0,0
163,MTE,0.0,0.0,0.7933044474610695,0.2066955525389305,0,0
164,N69,1.0,1.0,0.24816434565774426,0.7518356543422557,0,0
165,LWG,0.0,1.0,0.40147114060434685,0.5985288593956531,1,0
166,MTW,1.0,1.0,0.4550400239615465,0.5449599760384535,0,0
167,N6H,0.0,1.0,0.4953519203947302,0.5046480796052698,1,0
168,N76,0.0,0.0,0.5714084064266136,0.42859159357338644,0,0
169,N5Z,0.0,1.0,0.39478322969944146,0.6052167703005585,1,0
170,N8J,1.0,1.0,0.43733159475763106,0.5626684052423689,0,0
171,N6B,0.0,0.0,0.6508148183993125,0.34918518160068746,0,0
172,MZU,0.0,1.0,0.4551779080385233,0.5448220919614767,1,0
173,N5B,0.0,0.0,0.8000092595040837,0.1999907404959163,0,0
174,N9S,0.0,0.0,0.6796954116245818,0.3203045883754182,0,0
175,N66,1.0,1.0,0.3942746739967168,0.6057253260032832,0,0
176,NCD,0.0,0.0,0.5913292467812188,0.40867075321878116,0,0
177,MZT,0.0,1.0,0.4159007378271036,0.5840992621728964,1,0
178,N2O,0.0,0.0,0.75992941168042,0.2400705883195799,0,0
179,N4D,0.0,1.0,0.4652219109309854,0.5347780890690146,1,0
